x,y,z,height
1581,1486,3767,10
840,4646,4563,41
2991,124,2164,99
2288,2573,1699,21
2382,4729,4332,76
1494,4489,4276,37
1643,933,1231,74
1836,1923,536,83
3778,3589,4595,82
4175,794,2615,96
184,976,3815,69
2191,2114,4771,30
3643,4239,1114,99
3463,48,528,26
4166,225,4788,2
1040,2635,2878,74
1523,3636,3469,86
3573,1987,3269,19
4637,4429,3685,46
4224,59,4689,78
3931,1385,3037,5
4725,3012,4559,47
1062,2381,4405,96
2717,349,100,69
4659,1758,728,55
4448,1372,3976,27
1686,4,972,22
1926,3749,90,85
2719,1159,3005,88
2398,2728,229,75
222,2413,415,5
2671,1011,2079,21
4117,4044,3660,52
1538,4778,3441,30
4329,3058,3184,34
3872,176,2582,73
3729,1686,3338,20
3554,2254,915,78
2486,2946,3878,16
3514,1970,2148,65
2925,4420,2193,65
2398,3844,2888,17
1631,1135,783,100
3630,529,285,80
2630,1417,4829,82
1001,2076,4022,58
2484,1168,2138,26
2261,2765,4249,92
1523,3450,4100,27
4723,2553,3530,34
4196,605,75,2
4814,933,3021,84
2513,1648,793,41
4767,750,1681,79
115,2766,1461,96
1900,287,1766,63
1375,1269,2176,31
4962,3037,1319,37
3363,4477,4128,69
2874,3540,1318,30
3404,88,4418,64
4197,841,3290,33
184,421,4757,78
366,1357,1331,85
4204,225,2864,60
3210,4425,2950,32
4682,1250,3364,22
4347,1328,4765,59
4392,1788,1744,87
1197,3998,2259,95
2748,3921,137,89
3169,712,1081,20
3789,1962,1085,5
348,2821,2007,34
1855,3188,4527,95
210,4191,1028,6
4386,42,1475,90
2330,1763,353,43
795,3207,4047,16
284,1167,3770,13
2423,1969,3858,2
3908,676,3427,100
4831,1134,4095,88
1916,4852,190,55
3877,1836,3508,72
1411,2603,4064,25
4533,489,1485,43
3297,2000,3611,39
765,2469,2075,100
3226,4836,291,56
4057,1911,2360,44
1072,4329,1135,74
2497,4069,1616,84
3296,1231,2639,99
2578,693,3172,45
227,158,3900,58
3190,4822,2737,64
3163,2361,2507,64
4703,3658,2003,84
2062,2875,655,13
1222,3238,2595,90
4734,4084,4746,29
4366,3136,3427,36
3472,958,4891,56
3205,4000,3923,96
3657,2808,203,49
60,3773,1886,56
481,555,1795,70
4520,383,276,80
2056,2273,4396,84
1370,3854,4098,25
3082,711,1378,20
2427,4876,4349,26
149,3223,3979,11
3308,1426,1999,58
2857,100,1610,29
4513,4022,3953,17
875,1215,3621,73
2445,1963,2051,73
4342,4202,2310,7
3321,3237,2683,46
477,1570,753,42
34,331,2807,46
1294,4652,3951,59
2529,357,784,17
2410,1716,3321,42
2337,1155,4241,40
4686,2428,2592,79
925,4744,2555,52
2953,2854,3800,36
2744,4439,4,9
2478,4618,1140,32
2293,116,4885,7
3257,4609,1661,43
1020,535,3853,93
3907,2816,2979,54
141,3033,4909,62
3326,3893,4294,52
950,4870,1301,3
4523,1799,3033,57
2675,4791,3571,19
1257,2729,4268,88
3691,2446,2826,27
4612,2907,1796,51
2868,4636,2928,54
3506,886,3645,46
1169,4589,135,32
4655,3371,2241,51
4745,3199,1731,97
3826,3750,3438,55
2407,4912,4299,79
783,3333,2124,38
1849,1058,2037,44
2967,3030,2679,8
4580,3835,443,87
2539,2698,3658,95
1455,2462,3923,59
1396,651,431,40
4109,3700,3653,95
2520,4037,535,13
4520,2974,1493,47
4566,1417,2816,79
27,4191,4809,84
2589,509,1591,37
4916,2423,1335,16
3270,2122,1070,89
1047,4443,4965,27
4124,1046,1019,7
211,577,2584,78
3311,4132,3892,31
3182,111,4481,67
1168,4051,3790,80
4601,3461,1742,95
1281,377,3985,69
4534,1916,4527,38
2252,2385,712,76
4917,965,3819,49
3463,4478,733,51
4122,3842,392,83
880,761,3791,93
4352,3857,4493,70
3853,3817,2511,58
4764,629,4638,39
2325,4770,3423,38
2744,2631,1207,87
3336,1525,573,100
3005,3066,425,94
1011,2499,2373,85
1975,1395,3525,96
381,336,2872,21
4242,1081,1210,21
1187,4805,3355,97
3235,1470,2855,54
673,2193,3140,57
2039,2702,3816,88
978,1421,3150,93
3765,1142,1665,10
951,1013,2789,85
2845,4204,806,16
1977,1551,295,69
894,2915,1923,50
35,2588,2735,41
4353,3760,2229,4
2114,2771,4570,7
467,648,3964,24
3312,1618,797,65
4720,1737,1466,42
2024,3255,3177,35
2270,4171,2663,80
882,3342,337,71
4549,3108,4494,45
4627,3838,2347,49
2011,2198,3845,41
2725,2886,2547,59
1749,2845,1196,71
694,2821,3964,56
3464,2640,2182,20
3651,1107,4939,45
454,3105,3123,14
4655,4131,3037,74
547,1012,2785,12
1263,4650,3647,19
323,2508,4634,36
3896,4475,2696,68
184,352,1706,91
2608,2379,2779,25
3019,2907,1802,78
4726,3793,3974,60
2274,1877,476,76
1040,155,4771,20
3365,1053,2261,29
644,3042,329,48
2745,301,2308,3
3056,2222,3598,19
1599,4831,3733,43
507,3314,4305,70
3685,989,4857,28
2748,1757,2931,97
729,858,1896,45
685,648,1783,86
662,2960,1686,83
4900,2634,2944,30
3041,775,32,44
3562,980,4231,32
870,2268,1958,77
490,830,4409,43
4752,2212,4836,92
4021,2466,135,46
4928,774,109,51
2311,336,2047,6
3303,894,4319,63
3241,4635,2163,58
4703,1704,3613,7
2503,1279,746,77
282,2306,4788,19
2669,4288,1778,75
945,2958,4173,36
2509,3997,3914,54
4811,1074,3219,53
2665,2642,2409,20
1997,2845,2507,46
2669,972,1529,21
462,2297,1300,58
3711,3616,2852,30
2739,3290,1675,55
367,4478,1120,96
2342,425,3668,5
1681,3879,3016,49
3209,641,2062,10
4665,22,2968,33
1195,1297,4339,83
628,945,2519,77
4025,2142,460,44
3835,4168,1781,80
1225,3618,2478,24
2428,1310,1799,2
2357,3213,623,83
883,105,2021,10
4615,101,3762,29
3652,4897,2905,85
573,2707,2968,20
2777,2025,1732,28
1946,2744,2347,49
3414,2745,1626,78
1261,2137,3802,40
4674,1776,3575,61
1619,179,679,72
523,4315,2590,34
2450,1011,788,39
2108,3372,85,35
2628,326,2604,92
2352,177,3661,87
686,655,4766,21
2017,1140,1158,96
2745,1443,797,23
3645,1676,3945,86
1076,1302,2882,14
3925,3359,3728,88
3636,3011,2855,7
4329,3523,4103,27
1886,2735,2923,40
510,3574,2790,39
2953,825,1930,22
4058,2812,4591,87
4572,2774,1274,75
1926,2628,1236,56
1871,294,309,83
2695,833,3592,41
239,3852,2467,4
532,1003,341,97
1874,1083,1098,57
3971,3002,4282,61
3317,1804,862,52
2139,4874,4161,36
834,2530,4564,56
256,3582,1119,34
232,4660,3973,35
3324,1101,786,52
4900,4470,2122,95
2561,4795,240,48
694,4978,2611,7
6,4285,3862,84
2402,4363,38,80
1955,4123,3154,77
439,1785,1443,12
1615,4597,1536,31
3756,3129,827,73
3101,627,2944,24
102,3607,1821,49
2280,2,2238,33
1036,3291,2033,9
4047,1638,714,30
206,76,1589,28
4602,1851,1445,64
2221,3457,4602,82
1452,448,4116,27
3025,912,2009,74
2471,3320,4538,91
2083,2938,1046,41
1430,3453,1788,96
4818,1783,4471,33
4162,2654,4227,53
3710,1841,2522,37
2710,2025,2575,10
2551,3551,348,30
1200,4642,4388,23
2833,2355,2176,58
4465,2320,2016,24
1781,1153,33,69
3560,3969,1642,81
2879,2946,434,65
3415,2607,440,20
3685,4884,11,90
1282,2658,3608,36
1824,4708,4276,25
1792,1806,3122,69
4379,3390,4668,44
1332,2480,1390,74
935,1049,3654,98
3717,1746,1287,32
653,1213,2903,35
4943,4204,4845,24
784,288,1161,77
824,385,3273,30
2245,2483,1242,70
340,3849,2304,52
3957,2116,3532,31
142,4408,2565,62
2908,4028,2486,55
4941,1452,4268,44
3858,3261,230,5
4492,992,1434,24
4887,4354,1024,73
632,3693,1264,15
1787,4104,1265,88
1233,910,4662,85
4385,531,1059,15
4466,3281,3430,89
1207,231,1868,17
392,749,2066,18
1764,1760,4846,36
2500,3984,4442,81
4,2103,3583,32
410,2370,2648,1
2662,202,3549,76
4317,3677,4861,1
2811,1869,3085,82
106,3586,2128,72
4644,4003,1319,78
4411,472,3610,11
2561,2432,2422,84
3594,3055,2487,100
4718,2510,4643,29
3262,1995,3107,49
1880,2482,1232,43
3811,1530,1563,78
1252,4012,1531,62
1768,2180,3846,59
1922,954,1597,37
4873,332,1446,24
4032,3429,4418,34
4531,345,3869,35
263,94,545,99
915,3702,4378,98
2129,2514,373,77
3506,338,1728,41
2700,466,1240,32
4177,4640,2201,4
1389,2535,236,89
2065,265,1932,46
2289,3199,667,30
2893,1931,1189,29
2850,1237,3520,37
1321,2271,436,6
4030,1476,3954,83
4481,3273,4433,17
593,1031,4191,35
1621,1273,1819,4
1486,822,895,53
3159,3185,4599,33
487,3704,3672,59
2082,469,2380,28
800,4778,1903,61
3460,316,4559,52
4447,14,614,65
1755,3378,4730,35
4327,1589,3532,10
2504,4297,3087,23
2481,196,796,88
4185,3359,3694,89
1647,3843,1072,95
3027,1653,412,70
2767,594,3493,74
1346,3412,3672,68
1191,4776,3236,99
2133,1668,3478,66
296,2025,1034,92
427,2934,4710,13
4229,1643,1362,85
3802,3858,446,61
3566,2556,2807,20
3120,3178,1277,51
4217,3913,1179,97
1960,83,4776,77
3986,310,1110,99
3096,1232,3186,45
4726,315,1198,70
3072,919,2974,62
3772,168,2706,95
373,4851,2220,98
36,3749,3761,3
320,4187,4968,21
2328,2310,1327,84
2259,1003,2052,71
3467,4713,932,38
4436,3633,46,28
2292,1074,3079,50
1758,375,2308,96
2812,2392,1656,98
986,3227,98,48
2982,178,1155,56
4143,1888,1956,100
2621,2598,3655,57
168,4593,4507,33
4468,1360,2967,81
324,2741,648,54
1031,4655,285,63
915,733,2932,98
4466,4392,1485,28
2270,2455,492,98
3440,405,1780,16
98,4623,188,80
1469,4929,4226,70
3776,3368,2362,14
931,503,1794,83
2721,4324,1246,89
1370,3528,479,30
3915,2215,3699,80
4654,729,4727,61
4641,1416,2942,99
2774,402,2956,83
1873,4892,3458,7
3433,3407,2120,50
2245,2582,3316,95
1025,3934,2807,54
2246,3909,3478,55
3559,2376,1247,25
2889,2875,3576,58
105,4592,2479,49
3928,3611,3366,46
2861,2904,4687,87
4592,41,2333,6
1108,3086,965,66
601,316,4036,6
1952,152,482,21
844,4240,3990,53
4216,1524,910,74
4592,3263,1283,53
666,3593,1803,41
494,2185,2587,67
1915,1006,2126,36
2532,4536,1269,46
4060,1511,103,91
4526,3325,4302,37
3095,3294,4822,29
3896,4281,3865,33
64,3998,4250,36
2746,4483,2401,59
208,4263,3486,3
4926,4786,1008,73
3511,1403,1948,13
807,3134,4072,43
499,294,2737,36
3226,3738,2400,39
3122,4033,2634,24
3913,3772,3571,48
2908,4163,3941,34
945,1940,1927,70
84,1533,2837,62
1224,378,4798,27
2927,3259,2093,63
2737,575,1008,59
4357,3625,1014,39
4514,1822,2800,71
4545,3287,2289,11
4480,2493,4779,94
2380,391,3887,3
2564,4829,3254,5
401,3188,4111,95
728,2081,2176,28
3085,583,2677,74
1168,3698,1621,77
848,2037,67,66
3027,3735,2547,26
720,399,3109,38
4384,2064,1717,56
1684,2514,4173,47
2648,1185,3061,55
1852,3553,2268,70
3525,643,1896,100
3301,3219,410,31
1548,1232,1062,67
3622,3420,1953,65
4742,1634,1539,6
1828,93,2123,50
4087,1975,4219,99
4599,3219,192,6
1186,1002,4305,9
1482,1041,809,90
961,523,737,17
28,3776,1986,51
2341,3614,228,65
98,919,1156,84
2150,1975,2812,69
760,592,269,78
2293,1268,2268,32
1564,1631,670,64
631,3117,1058,78
145,2225,733,34
4515,4164,4590,89
2161,4050,935,28
2301,194,3083,1
2490,709,4603,73
4163,61,2221,87
2844,4596,1818,79
298,1450,537,58
4246,4238,3749,6
4794,3728,3197,77
4156,4067,3383,85
3377,3885,3080,69
752,2671,2315,51
3639,2552,971,95
66,183,4498,60
276,2810,1763,69
2261,365,1812,67
3180,160,3710,48
906,3049,15,91
503,2687,2368,6
3279,2334,4653,94
4061,4774,4697,85
1226,182,2752,62
2744,3493,3049,21
42,1712,3874,49
2162,1881,4289,6
1382,477,286,36
2521,2533,1749,47
4148,4327,3742,37
3703,1819,2896,4
3264,2892,841,36
2874,2110,2362,36
1516,2679,1279,14
1321,108,2134,48
3363,743,3885,97
4910,3025,2782,26
4655,3261,3889,48
4593,4583,3633,38
1280,4273,2076,9
3315,1132,2599,71
2310,3055,18,12
3240,4473,4324,17
4335,2263,7,33
2471,241,2337,33
3882,2224,4650,66
1076,2352,2043,97
2040,3157,1807,11
2282,2123,1508,98
3775,1986,3494,28
3444,1117,3433,59
3537,339,765,69
3891,3564,3838,40
2517,2761,4622,32
4106,4668,397,11
2978,2839,1435,27
4918,4372,805,78
2296,2719,1158,99
937,1982,3240,33
1844,725,443,6
72,392,3509,41
2123,792,2925,7
4884,1715,1864,87
2577,3317,2022,59
868,1579,1015,72
3371,4272,3529,26
4752,2769,3625,40
3974,1035,4592,19
3835,818,2639,52
2986,968,332,30
1950,2271,190,36
3997,3826,4775,79
1763,808,1821,28
2171,3063,2596,43
4691,4174,3123,54
1003,1203,3380,43
311,2015,4203,43
340,4936,283,56
4508,2271,4154,55
4846,4569,3810,38
4498,2084,2713,76
1961,3117,44,41
1233,3526,3157,66
576,2070,3696,82
98,4114,753,75
3327,4657,2587,55
637,544,1590,3
1720,2327,1807,97
1882,3278,486,72
3982,1420,2575,23
4693,3584,3395,4
1707,4839,3324,79
960,2332,4538,18
3069,2034,676,87
3873,2854,3287,9
713,3739,3573,39
1459,4560,928,36
895,3772,4869,100
3108,49,1561,3
65,2465,4559,54
1452,4295,1230,5
1964,843,1470,52
4408,4000,411,62
306,2208,2312,96
1226,4302,4943,51
3462,272,878,4
2771,3885,1754,9
3254,1336,2518,69
544,629,3784,86
3232,4759,4254,10
865,2192,2401,23
3946,4328,1843,52
3586,3514,3277,1
2650,1832,1902,2
4127,4121,1928,79
1685,3397,314,37
1657,2911,198,90
3140,2534,4609,19
4495,3727,2764,15
1603,1137,2618,44
250,4359,3767,28
3525,2640,2264,33
2335,4067,227,100
2100,3295,2830,34
4674,3404,1568,73
1462,4299,2426,67
4295,1471,1032,71
877,2920,396,19
310,3643,905,68
1385,4601,4339,68
2477,4921,4829,34
3394,448,3848,76
309,2954,5,60
2688,2240,3342,89
3462,3885,33,34
2701,3390,4507,14
3706,3105,951,86
3036,3437,1581,17
4311,2651,3478,85
4266,2344,3757,25
2314,540,4675,36
2993,4472,1723,39
2800,4310,3676,25
3612,642,1361,93
4184,1621,1075,97
2518,1091,1280,44
3307,3250,166,80
1737,2750,1918,11
2359,2262,881,51
4470,1809,896,93
763,1541,118,37
1948,2440,1459,19
670,1813,2581,5
3272,4379,3254,42
2893,4654,2375,50
3498,3337,936,82
1685,4590,3665,64
2311,2876,2925,66
4164,2426,1476,30
1435,2929,3620,21
3544,2794,3812,92
1513,3636,4718,71
3546,883,2418,39
965,186,4773,36
2723,4781,3028,92
4474,1956,1598,21
2108,185,3181,100
1051,4269,1018,68
4126,2637,1269,68
818,1467,4305,32
883,2345,2478,10
1999,1920,46,44
2224,4433,4238,9
1228,1941,617,38
3904,1613,4448,42
2689,1902,2462,45
1761,1897,1653,95
193,4903,1028,39
3721,4541,2347,23
1015,3950,1696,6
1231,4182,2554,39
3849,3417,2376,73
2390,3092,2253,51
2523,3625,1846,94
3090,1147,4395,84
4013,3678,2790,33
3114,4827,4553,58
3930,1322,4847,50
2876,3512,30,77
1130,728,4065,31
1039,3606,4624,94
4239,4496,3673,67
674,558,3269,13
311,3456,228,99
2551,2990,4198,44
1714,300,4965,27
3595,1397,4488,13
2891,2132,90,51
3205,1206,4013,8
1186,487,475,32
2923,3264,2549,40
1413,773,2857,8
3075,4148,4028,62
2473,3518,2298,53
4884,489,923,85
4840,2383,2054,41
2723,1948,3565,34
2282,3388,830,24
417,1978,1846,56
2971,3315,791,11
610,441,4672,34
4460,3977,1098,72
4120,3437,2044,85
4445,518,4904,12
2731,2988,3938,79
2787,3557,4579,17
1772,2970,3345,86
3227,521,4231,33
3371,714,2542,21
1303,1629,1944,98
877,4050,4619,99
301,2916,1733,69
4583,4058,3879,4
4823,2691,387,99
841,3627,3739,35
3277,168,3661,56
1105,4758,4410,75
519,1042,2059,52
4683,4739,2264,96
4495,462,4518,76
1583,2595,567,82
1975,2889,4831,13
3168,4564,3675,41
2940,3363,569,95
4622,3410,4365,86
3050,799,3899,4
1977,3293,1764,4
3962,765,1049,100
3409,2067,3584,10
3455,4735,3174,86
830,4638,4412,65
3095,2811,2132,72
2145,843,2257,97
2315,4136,866,24
4697,4305,208,26
2443,2258,3303,19
1362,2709,3880,47
3751,393,2429,19
2954,1536,3562,28
96,2751,697,23
690,1032,4891,40
4254,3345,214,41
2402,4925,1764,47
2195,8,977,100
772,4421,2576,23
1875,3069,3398,48
988,862,682,100
141,81,2162,99
4109,1427,1217,79
198,686,4264,14
4001,925,2189,68
4134,4501,2721,84
2484,3099,196,85
469,698,3452,12
4276,87,2186,70
568,969,1252,36
3966,3160,2850,33
3830,878,1289,5
3490,209,4770,22
1819,3224,2058,82
4712,3863,564,26
32,3803,4876,72
4726,459,1076,79
4375,2703,695,100
1810,1418,446,65
44,664,4573,98
1272,12,3868,62
4319,4358,4759,30
2985,4547,4269,30
4780,2540,1275,8
1438,2014,188,84
3329,2033,2279,28
775,3439,1316,37
1666,3822,254,29
2757,1961,4481,55
171,2178,4695,96
1020,2591,3839,58
4927,4564,4873,6
4431,252,3841,82
613,1224,3025,79
3634,2681,535,58
4094,3101,3325,15
447,3489,2509,24
2999,1356,1393,19
210,806,3370,77
4431,2507,1855,36
1478,2940,2252,2
294,789,720,74
3616,2460,730,7
3060,1410,147,38
3102,4218,3621,100
